quantity,z,n_sims,in_flat_window,Ap_ref,flat_mean,lin_intercept,lin_slope,flat_rms,lin_resid_rms,flat_frac_spread,lin_frac_spread,loo_slope_min,loo_slope_max
omega_DLA,3.4,3,1,1.8633333333333333e-09,1.054048601441054,1.0540486014410542,-55017834.78215586,0.023586157150966923,0.0006994952929624829,0.02237672638502708,0.0006636271724151622,-56889090.00692831,-50250111.07936492
omega_DLA,3.6,3,1,1.8633333333333333e-09,1.0633917500717955,1.0633917500717955,-30336551.731466345,0.027915900346449495,0.02470442857450267,0.02625175561552432,0.02323172863889036,-198720657.90568003,35751514.20714888
omega_DLA,3.8,3,1,1.8633333333333333e-09,1.061008966062518,1.061008966062518,-34727923.023334965,0.01914795401159621,0.012049501414835297,0.018046929502071665,0.011356644288833751,-116856700.84400648,-2493692.564227459
omega_DLA,4.0,3,1,1.8633333333333333e-09,1.0739049676121495,1.0739049676121495,-47101162.58949422,0.02078025769626134,0.00494465631933523,0.019350183045029286,0.004604370468952926,-80803684.06895384,-33873462.46720539
omega_DLA,4.2,3,1,1.8633333333333333e-09,1.0827152915350509,1.082715291535051,-51805870.286160745,0.022288034066843834,0.001985520760055475,0.020585313831897885,0.001833834596757607,-57117437.25956018,-38272663.57935423
omega_DLA,4.4,3,1,1.8633333333333333e-09,1.0711668193338617,1.0711668193338615,-47946867.65877208,0.020675946616027518,0.002316301542855816,0.019302265756220394,0.0021624097209212286,-54143323.02855815,-32159076.26147307
omega_DLA,4.6,3,1,1.8633333333333333e-09,1.0834520839678812,1.0834520839678814,-72964646.12799525,0.03127049780448585,0.0005184377151509682,0.02886191117004936,0.0004785054390705637,-74351545.07207018,-69431001.50191408
omega_DLA,4.8,3,0,1.8633333333333333e-09,1.0883316520438207,1.0883316520438209,-57884810.34092528,0.024894589351348067,0.002118147117828955,0.022874083745150244,0.0019462331301779226,-72321991.43602805,-52218447.89224046
omega_DLA,5.0,3,0,1.8633333333333333e-09,1.1090060447480152,1.1090060447480155,-89550475.0556219,0.038452980951950606,0.0024723142031137135,0.0346733736340344,0.0022293063368067256,-106401640.66820262,-82936662.33036055
omega_DLA,5.2,3,0,1.8633333333333333e-09,1.102728701635382,1.1027287016353822,-97433420.72317043,0.042430737839674396,0.007562533268543008,0.03847794818140514,0.006858017985137713,-148979255.9565609,-77202505.61387399
omega_DLA,5.4,3,0,1.8633333333333333e-09,1.1258405405553253,1.1258405405553256,-101903073.814664,0.04473563400860263,0.009721130417466488,0.039735319876238066,0.008634553533372943,-127908561.29598434,-35644352.16839718
